顧客資料,訂餐資訊,總金額
U7e8deabe3ab7de7c661b9f662b281832,5號餐,99元
U7e8deabe3ab7de7c661b9f662b281832,5號餐,99元
U7e8deabe3ab7de7c661b9f662b281832,4號餐,104元
U7e8deabe3ab7de7c661b9f662b281832,3號餐,97元
U7e8deabe3ab7de7c661b9f662b281832,6號餐 12號餐,197元
U7e8deabe3ab7de7c661b9f662b281832,7號餐,107元
